Model,Brand,Regular Price (BDT),Special Price (BDT),Discount (BDT),Processor Brand,Processor Model,Processor Frequency (GHz),RAM (GB),RAM Type,Storage,Display Size (inch),Display Type,Graphics Model,Battery Type,Battery Capacity (WHr),Number of Reviews
 Stealth 16 Mercedes-AMG A13VG,MSI,431200,399900,31300,Intel ,Core i9-13900H,2,32,DDR5,2TB NVMe PCIe Gen4x4 SSD,16,OLED,NVIDIA GeForce RTX 4070,4-Cell,99,0
 Surface Go 3,Microsoft,0,0,0,Intel ,Core i3 10100Y,3,8,,128GB  SSD,10,PixelSense ,Intel UHD Graphics 615,Integrated,,0
 TUF Dash F15 FX517ZM,Asus,217800,203000,14800,Intel,Core i7-12650H,2,16,DDR5,512GB M.2 NVME PCIE 3.0 SSD,15,LED,Nvidia RTX 3060,4 Cell,76,0
 MSI Creator Z16 HX Studio B13VFTO,MSI,385000,365000,20000,Intel ,Core i7-13700H,2,32,DDR5,2TB  NVMe PCIe Gen4 SSD,16,LED,Nvidia RTX 4060,4-Cell Integrated,90,0
 Legion Slim 7i,Lenovo,279930,259000,20930,Intel,Core i7-12700H,2,16,DDR5,1TB SSD NVMe PCIe,16,LED,Nvidia RTX 3070 Graphics,Integrated ,99,0
 Modern 14 C5M,MSI,0,0,0,AMD,Ryzen 5 5625U,2,8,DDR4 ,512GB  NVMe PCIe Gen3x4 SSD,14,IPS,AMD Radeon Graphics,3 cell,39,0
 Surface Laptop 4,Microsoft,0,0,0,AMD ,Ryzen 5 4680U,2,8,LPDDR4x ,256GB SSD,13,PixelSense ,AMD Radeon Graphics,Integrated ,47,0
 MacBook Air (2022) M2 Chip Model,Apple,152440,141000,11440,Apple,M2 chip,2,8,Unified memory,256GB SSD,13,Liquid Retina display,Apple 8-core GPU,Lithium‑polymer,52,0
 Modern 14 C12M,MSI,0,0,0,Intel ,Core i3-1215U,3,8,DDR4 ,512GB  NVMe PCIe Gen3x4 SSD,14,IPS-Level,Intel UHD Graphics,3 cell integrated,39,0
 Modern 15 B11M,MSI,0,0,0,Intel ,Core i5-1135G7,2,8,DDR4,512GB NVMe PCIe Gen3x4 SSD,15,LED,Intel Iris Xe Graphics,3 cell,39,0
 Legion 5i Pro,Lenovo,275590,255000,20590,Intel,Core i7-12700H,2,16,DDR5,1TB SSD NVMe PCIe,16,LED,NVIDIA GeForce RTX 3060,Integrated ,80,0
 GF63 THIN 11UC,MSI,0,0,0,Intel ,Core i5-11400H,2,8,DDR4 ,256GB  SSD NVMe PCIe Gen3x4 SSD + HDD,15,IPS,NVIDIA GeForce RTX 3050 Max-Q ,3 cell Li-Polymer,51,0
 Surface Pro 8,Microsoft,0,0,0,Intel ,Core i5-1135G7,2,8,LPDDR4x ,128GB  NVMe PCIe SSD,13,PixelSense,Intel Iris Xe Graphics,,,0
 ThinkPad X1 Carbon Gen 9,Lenovo,285000,270000,15000,Intel,Core i7,2,16,LPDDR4x,512GB SSD NVMe PCIe SSD,14,WUXGA IPS LED Display,Intel Iris Xe Graphics,3 Cell Li-ion,57,0
 Surface Go 2,Microsoft,0,0,0,Intel ,Pentium Gold Processor 4425Y ,1,4,,64GB  SSD,10,PixelSense ,Intel UHD Graphics 615,Integrated,,0
 Surface Pro 9,Microsoft,0,0,0,Intel ,Core i7-1255U,3,16,LPDDR5,256GB NVMe PCIe,13,PixelSense Flow Display,Intel Iris Xe Graphics,Integrated,47,0
 Modern 14 B11SB,MSI,0,0,0,Intel ,Core i5-1155G7,2,8,DDR4 ,1TB  NVMe PCIe SSD,14,IPS,Nvidia GeForce MX450,3 Cell,52,0
 MacBook Air 15-Inch,Apple,182820,169000,13820,Apple,M2 chip,2,8,Unified memory,256GB SSD,15,Liquid Retina display with True Tone,Apple 8-core GPU,Lithium‑polymer,66,0
 GF63 THIN 11SC,MSI,96250,90000,6250,Intel,Core i5-11400H,2,8,DDR4,512GB NVMe,15,IPS,NVIDIA GeForce GTX 1650,"3 cell, Li-Polymer",51,2
 Summit E14 A11SCS,MSI,0,0,0,Intel,Core i7-1185G7,1,16,LPDDR4 ,NVMe PCIe Gen4x4 SSD 1TB,14,IPS,GTX1650 Ti Max-Q,3-Cell Li-Polymer,52,0
" MacBook Pro 14""",Apple,258500,240000,18500,Apple,M2 Pro chip,,16,,512GB SSD,14,Liquid Retina XDR,16-core GPU,Lithium-polymer battery,100,0
 Prestige 14 A11SB,MSI,0,0,0,Intel,Core i7-1185G7,3,16,LPDDR4x ,1TB PCIe SSD,14,IPS ,Nvidia MX450,3-Cell Li-Polymer,52,0
 Bravo 15 B5DD,MSI,0,0,0,AMD,Ryzen 5 5600H,3,8,DDR4 ,512GB NVMe PCIe Gen3x4 SSD,15,IPS,AMD Radeon RX 5500M,3-Cell,53,0
 MacBook Pro 13.3-Inch,Apple,199100,184000,15100,,,,,, ,,,,,,0
 Katana GF66 11UC,MSI,0,0,0,Intel,Core i5-11400H,2,8,DDR4 ,512GB NVMe PCIe Gen3x4 SSD,15,IPS ,NVIDIA GeForce RTX 3050,3 cell integrated,53,0
 Pulse GL66 12UEK,MSI,0,0,0,Intel,Core i7-12700H,3,16,DDR4 ,1TB NVMe PCIe Gen4x4 SSD,15,IPS,NVIDIA GeForce RTX 3060,3 cell,53,0
 Pavilion 15-eg2109TU,HP,98520,91000,7520,Intel,Core i5-1240P,4,8,DDR4,512GB PCIe NVMe M.2 SSD,15,IPS,Intel Iris Xe Graphics,3-cell Li-ion,41,0
 Katana 17 B13VEK,MSI,0,0,0,Intel ,Core i7-13620H,2,16,DDR5,1TB NVMe PCIe Gen4x4 SSD,17,IPS,NVIDIA GeForce RTX 4050,3-Cell,53,0
 ExpertBook B3 Flip B3402FEA,Asus,95810,91000,4810,Intel,Core i5-1135G7,2,8,DDR4 ,512GB M.2 NVMe PCIe 3.0 SSD,14,LED ,Intel Iris Xe,3-cell Li-ion,50,0
 MacBook Pro 16-Inch,Apple,412500,390000,22500,Apple,M1 Max Pro,,32,,1TB SSD,16,Liquid Retina XDR Display,Apple 16-Core GPU,Integrated lithium-polymer battery,100,0
 Creator Z16 A11UET,MSI,0,0,0,Intel ,Core i7-11800H,2,16,DDR4,512GB   NVMe PCIe Gen4 SSD,16,IPS-Level,NVIDIA GeForce RTX 3060,4-Cell Integrated,90,0
 Delta 15 A5EFK,MSI,0,0,0,AMD,Ryzen 7 5800H,3,16,DDR4,512GB NVMe PCIe Gen3 SSD,15,IPS,AMD Radeon RX 6700M,4-Cell Integrated,82,0
 Katana 15 B13VEK,MSI,0,0,0,Intel ,Core i7-13620H,2,16,DDR5,1TB NVMe PCIe Gen4x4 SSD,15,IPS,NVIDIA GeForce RTX 4050,3-Cell,53,0
 X1504VA-NJ261W,Asus,95150,89500,5650,Intel,Intel Core i5-1335U,1,8,DDR4,512GB NVMe PCIe,15,LED ,Intel Iris X Graphics Is Only Available In Models With Intel Core I5/I7/I9 Processors And Dual-Channel Memory,3 Cell,42,0
 MacBook Pro 14-Inch Space Grey 2021,Apple,422070,390000,32070,,,,,, ,,,,,,0
